,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
MIR1302-2HG,4.074040215745271e-05,4.073876261749416e-05,0.1013904037230592,17871.0,10,False,False
FAM138A,1.490502517955587e-06,1.4905010368896805e-06,0.005468016120691994,,0,False,False
OR4F5,2.782271366850429e-05,2.782195338800565e-05,0.05859816812164053,17358.5,6,False,False
AL627309.1,0.007809736359914624,0.008256513004470004,1.0164789382798243,13797.5,162,False,True
AL627309.3,0.0002613347748148796,0.00026126660875653256,0.48288315428741213,14158.0,67,False,False
AL627309.2,1.291768848894842e-05,1.2917528040141884e-05,0.048280584769785403,15201.0,7,False,False
AL627309.5,0.01995534454456205,0.021519634442330956,0.9879405842453017,15672.5,148,False,False
AL627309.4,0.0002280468852472048,0.00023495067501398296,0.500145404701078,11145.0,81,False,False
AP006222.2,0.00024692658380797556,0.00025183407791647626,0.33897661185094935,15912.0,29,False,False
AL732372.1,1.3911356834252145e-05,1.3911170219947929e-05,0.058597592181538025,14131.0,8,False,False
OR4F29,4.968341726518623e-07,4.968341726518624e-07,0.002481256850336132,,0,False,False
AC114498.1,7.502196007043121e-05,7.50163690466339e-05,0.22732135456363206,13979.0,30,False,False
OR4F16,0.0,0.0,0.0,,0,False,False
AL669831.2,0.0005465175899170485,0.0005561558682112464,0.7224715504986462,12413.0,108,False,False
LINC01409,0.12643883176399978,0.186007705973627,1.0011245212728874,17578.0,173,False,True
FAM87B,0.0005718561327222936,0.0005824597544700185,0.7649543467969313,12042.0,111,False,False
LINC01128,0.1106578879380587,0.15928392807805336,1.0229609899758458,15919.0,164,False,True
LINC00115,0.008002508018903547,0.008230610467077223,1.060324478187521,14972.0,187,False,True
FAM41C,0.009457238476428199,0.009840790138429511,0.8248362431966558,16259.5,78,False,False
AL645608.6,0.0010329182449432218,0.0010725922599003975,1.2126786160969822,8757.0,201,False,True
AL645608.2,0.0008431275909902104,0.0008612968533380268,1.047755492917523,8454.0,165,False,True
AL645608.4,1.093035179834097e-05,1.0930237756266174e-05,0.04022760941304773,17541.5,6,False,False
LINC02593,0.0005365809064640113,0.0005740526697253617,1.4806583004418372,4978.0,217,False,True
SAMD11,0.003034663126557575,0.003436834348758458,2.3550585990839332,3533.5,310,False,True
NOC2L,0.04957610108389343,0.05617761350035595,1.2868378384907933,13715.5,316,False,True
KLHL17,0.012926631504056154,0.013685639399332355,0.9891716536723926,15162.0,156,False,False
PLEKHN1,0.0006404192485482506,0.0006767751767556066,0.6689830631165798,11123.0,98,False,False
PERM1,0.0003671604535897263,0.000381930861726901,0.510440905797931,12084.0,69,False,False
AL645608.7,0.0018666059866530467,0.001988324968119698,1.2976662639256402,7501.0,225,False,True
HES4,0.08380996291629736,0.13796906260535557,1.4990253086267264,9052.0,302,False,True
ISG15,0.027039206178232304,0.06930812591681995,1.9784155873636249,4782.0,319,False,True
AL645608.1,0.0015421732719113808,0.0016023968753903534,0.6689177599406626,12457.0,73,False,False
AGRN,0.06025455795669991,0.07427252658431939,1.2298941777085646,13459.0,314,False,True
AL645608.5,1.3414522661600283e-05,1.341434937688923e-05,0.04337626146926687,14154.0,5,False,False
AL645608.8,4.074040215745271e-05,4.073876261749416e-05,0.08809024969855525,14263.0,6,False,False
RNF223,8.843648273203149e-05,8.842870565495624e-05,0.2319052802635739,14402.0,29,False,False
C1orf159,0.17107987901094227,0.27483009726610064,1.1843114853280512,15083.0,325,False,True
AL390719.3,0.01567064663961239,0.017745301876267012,1.128616255510599,10991.5,200,False,True
LINC01342,0.00021562603093090826,0.00021856064997000335,0.5070116850622696,13927.0,74,False,False
AL390719.2,2.136386942403008e-05,2.1363423623192205e-05,0.1088398472265811,15063.0,21,False,False
TTLL10-AS1,9.63858294944613e-05,9.737025598850861e-05,0.2980905559412121,13667.0,41,False,False
TTLL10,0.0007969220129335872,0.0008260973890314352,0.9847329108547623,8593.0,147,False,False
TNFRSF18,0.0027927048844761182,0.0029339573933903716,1.0445429223838498,7863.0,145,False,False
TNFRSF4,0.0019431184492414335,0.0021629191922390295,0.9959146768828886,9718.0,159,False,False
SDF4,0.10102626066702969,0.12597202929348472,1.0928172597210724,16501.0,271,False,True
B3GALT6,0.015211075029909418,0.016125405840126245,1.6451795291989457,7656.0,310,False,True
C1QTNF12,0.0013007118640025756,0.001336780073928961,1.0684550130441661,9006.0,169,False,True
AL162741.1,0.00046453995142949127,0.0004722737354671733,0.7734169447101236,10294.0,115,False,False
UBE2J2,0.08217388798575477,0.09499864105682347,1.2792530503412938,12619.0,339,False,True
LINC01786,0.01715419347915085,0.01846471067680146,0.9629159161319174,16647.0,157,False,False
SCNN1D,0.017030481770160536,0.017968627463057676,1.3452845216544314,10927.0,310,False,True
ACAP3,0.1975437512172437,0.28505011161215416,1.2903757348653624,12757.0,336,False,True
PUSL1,0.0055854097689522365,0.005748974818632657,1.2647039874925814,10894.0,241,False,True
INTS11,0.06852336909214485,0.07455261647170724,1.3992785993958892,10486.0,337,False,True
AL139287.1,0.0006861279924322219,0.0006906259056633023,1.1119309032636393,9623.0,195,False,True
CPTP,0.010831481797983251,0.01127658268607993,1.5675971435482656,7195.5,274,False,True
TAS1R3,0.00032791055395022916,0.000333765204516623,0.6042297682508497,11465.0,94,False,False
DVL1,0.03245420182596495,0.034570745807259814,1.3347724253717077,12135.0,324,False,True
MXRA8,0.003922008958913801,0.004272298878335345,1.7399686275468813,5459.0,283,False,True
AURKAIP1,0.07300034182191079,0.09229145836096621,1.6739416536057707,7172.0,317,False,True
CCNL2,0.20133161494954152,0.25695957755380266,1.3205262147995422,11561.0,343,False,True
MRPL20-AS1,0.009362343149451694,0.009747680655547082,1.4115008225877714,9951.0,303,False,True
MRPL20,0.09268292440568696,0.11387905882710685,1.467112592610627,9575.0,341,False,True
AL391244.2,0.006465303088718685,0.00664211328068476,1.0725383586307295,14093.0,203,False,True
ANKRD65,0.017547686143891125,0.01886541564080115,1.8507048629736818,5222.0,329,False,True
AL391244.1,0.00036219211186320767,0.0003660357839776124,0.8750324213666376,11502.0,162,False,True
TMEM88B,0.0030694415186432056,0.00313951507484923,2.030679172824219,4026.0,315,False,True
LINC01770,0.00040392618236596405,0.0004087315708034905,1.3241578011522908,6920.5,236,False,True
VWA1,0.040041356476531544,0.04733338879198857,2.3902722953114224,3568.0,338,False,True
ATAD3C,0.017872118858632793,0.020401563508311325,1.7509068197674407,6349.0,339,False,True
ATAD3B,0.060133827252745506,0.07125488070387026,1.0797572706202876,16396.0,269,False,True
ATAD3A,0.03600010731618129,0.04105763538810094,1.0200823842147122,16773.5,210,False,True
TMEM240,0.04921788364541144,0.05856253321586068,1.1938660199406153,13556.0,209,False,True
SSU72,0.11382818679375023,0.1422179411920159,1.400969861288208,11640.0,329,False,True
AL645728.1,0.013649525225264613,0.01501135842653279,1.0282071296744903,15465.0,187,False,True
FNDC10,0.01481708553099649,0.016121834758941158,1.5820109424648934,6208.0,232,False,True
AL691432.4,0.01239998728104518,0.013567813236678418,0.6577688071654363,13459.0,36,False,False
AL691432.2,0.022552793599185987,0.02425111454375005,1.0928685722167493,15040.0,218,False,True
MIB2,0.06585636325334966,0.07704143417123362,1.2102988575131468,13875.5,296,False,True
MMP23B,0.0023733768427579463,0.002475061336108006,1.000212469990537,12417.0,157,False,False
CDK11B,0.05607717623304305,0.06690055570706974,1.3560582561037866,11454.5,332,False,True
FO704657.1,0.0021950133747759277,0.0022359051458184648,1.1957718779965256,11648.5,214,False,True
SLC35E2B,0.10310004650367856,0.13204134703257525,1.0835896547984183,16846.5,282,False,True
CDK11A,0.05422646893991486,0.06140252693654795,1.313548062451965,12342.5,338,False,True
SLC35E2A,0.10633443696764218,0.13632037396831148,1.091862086966722,17045.5,296,False,True
NADK,0.05887037795169182,0.0691699785050536,1.2198129751053584,13782.5,330,False,True
GNB1,0.8392994836899278,2.1717698576800526,1.5080800872906037,8610.5,346,True,True
AL109917.1,0.0011317882453009424,0.001168267278225366,1.0939471631167945,7706.0,173,False,True
CALML6,0.0009007603550178265,0.0009237974850620867,0.6959134426680835,9600.0,86,False,False
TMEM52,0.0013682813114832288,0.0014220552515984825,0.9242050722359133,9768.0,138,False,False
CFAP74,0.04953436701339067,0.06722339792438553,1.1388899941594663,14252.0,223,False,True
AL391845.2,0.0026446483010258634,0.002768819733614258,0.7714409567587364,10160.0,91,False,False
GABRD,0.08297080999868836,0.12366455016914771,1.5098677877821562,7421.0,231,False,True
AL391845.1,6.45884424447421e-06,6.458805736760639e-06,0.023339137852416345,15960.5,2,False,False
PRKCZ,0.31161240575055743,0.5951519620528175,1.1477808235632667,15024.0,263,False,True
AL590822.2,0.0038599046873323186,0.00408050724831003,0.9282763950412082,13171.5,120,False,False
PRKCZ-AS1,0.0015396891010481214,0.0015691166251607148,1.1691317650940092,9653.0,197,False,True
FAAP20,0.04575494946202796,0.05238884916716512,1.3288345269912414,11401.0,327,False,True
AL590822.1,0.007412765855965786,0.008689336658196514,0.7613698241614302,15321.0,73,False,False
SKI,0.31270544093039154,0.591420984351299,1.4395696873211166,9836.0,343,False,True
AL590822.3,0.0012331424165219222,0.0012822994990032415,0.9038124325475082,10169.0,127,False,False
MORN1,0.0848085996033276,0.11720092513826133,0.9051540762253766,17410.0,99,False,False
AL589739.1,0.0002846859809295171,0.0002925544269352459,0.44674490678390893,12506.0,49,False,False
AL513477.2,0.007759059274304134,0.008202650199907645,0.928317789186182,12130.0,111,False,False
RER1,0.09281309495892175,0.1080141272599337,1.2900875233347422,12786.0,338,False,True
PEX10,0.026752036026439528,0.02928468096529282,1.1416509722771142,14655.5,248,False,True
PLCH2,0.05786180458120854,0.07451937797156222,1.146998709412059,14440.0,253,False,True
AL139246.1,0.00019972733740604865,0.00020068121444732874,0.4298056354909396,12509.5,60,False,False
AL139246.4,8.396497517816474e-05,8.395796677429496e-05,0.221962172531932,12766.0,25,False,False
PANK4,0.02197249128552861,0.023285271181117825,1.2389597058078363,13118.0,282,False,True
HES5,0.010456371997631095,0.015800296011434366,2.469036117301209,2785.0,297,False,True
AL139246.5,0.01062330827964212,0.011747576527335235,1.0225535563920243,12029.0,157,False,False
TNFRSF14-AS1,0.0010970098532153121,0.0011425094024642602,1.2170798911027307,8558.0,216,False,True
TNFRSF14,0.016779083678798695,0.019161580383596267,1.1890807949265754,13284.0,246,False,True
AL139246.3,0.0005201853787664999,0.0005378010833516438,0.6157589769894415,12446.5,82,False,False
PRXL2B,0.014493149650427476,0.015409925823395395,1.556175059499832,6698.0,239,False,True
MMEL1,0.0008649882945868923,0.0009745377603494989,0.9200547226063982,10642.0,145,False,False
AL831784.1,8.843648273203149e-05,9.240338101092568e-05,0.21559181289224646,15296.5,24,False,False
TTC34,0.01356854125512236,0.015657956896800686,1.0309081225085288,14746.0,180,False,True
AC242022.2,0.0014492652816254824,0.0018605318677911815,0.7442416674432698,11174.5,98,False,False
AC242022.1,5.6639095682312304e-05,5.7629584672803356e-05,0.18656382195669513,14945.0,25,False,False
AL592464.2,2.981005035911174e-06,2.9809976305816414e-06,0.012443020416434941,,0,False,False
AL592464.3,3.9249899639497125e-05,3.924837858481109e-05,0.09914660215987116,13879.0,11,False,False
AL592464.1,1.987336690607449e-06,1.9873337284756365e-06,0.00407556843187884,,0,False,False
AL589702.1,0.0002687872874046575,0.00027268984966163776,0.9146117217582149,9338.5,174,False,True
ACTRT2,6.45884424447421e-06,6.458805736760639e-06,0.036086212383405286,16506.0,9,False,False
PRDM16-DT,0.026342147834001742,0.04219880000668951,3.6107377293070884,1614.0,333,False,True
PRDM16,0.09766517748903984,0.2754651079324095,4.495715954043803,890.5,346,True,True
AL008733.1,1.3414522661600283e-05,1.341434937688923e-05,0.061155155128648844,17940.0,7,False,False
AL590438.1,0.00019475899567953004,0.00020267051206919817,0.6408220669157869,10802.0,115,False,False
AL354743.2,0.0006349540726490801,0.0006792663189961,1.1348179089899342,7221.0,198,False,True
AL354743.1,0.00019575266402483375,0.00020267012402992932,0.6240602563266308,11138.0,99,False,False
ARHGEF16,0.002255130309666803,0.0024050581537355975,1.611224736933887,7247.0,269,False,True
AL512413.1,3.875306546684526e-05,3.9745251758865227e-05,0.1571057098292287,17034.5,22,False,False
MEGF6,0.008280238321415938,0.009200380549400311,1.3775908086226207,10325.0,293,False,True
AL513320.1,0.00260639206973167,0.002647296185952552,0.9479412169409596,11911.0,131,False,False
TPRG1L,0.04925763037922359,0.05793757610947213,1.925980230410253,4608.5,276,False,True
WRAP73,0.03859209119490606,0.04239106568714098,1.1746606630031284,14422.0,303,False,True
TP73,0.0012356265873851816,0.0012758345187027346,1.3623174147005108,8434.5,236,False,True
AL136528.1,9.986366870302433e-05,0.0003085242017498451,0.37109252777849766,13775.0,64,False,False
AL136528.2,4.22309046754083e-05,4.322281104597185e-05,0.21292058460127053,14850.0,43,False,False
CCDC27,0.0008202732190482247,0.0008315248041679045,0.9776575832046159,10284.0,149,False,False
SMIM1,0.0013255535726351686,0.0014499930806208842,1.3036188122842043,6776.0,225,False,True
LRRC47,0.053686410194242286,0.060639538964392385,1.2703296966574649,13255.5,316,False,True
AL365330.1,0.00014457874424169193,0.00014555158188870834,0.46792672506917316,12381.0,74,False,False
CEP104,0.20245098234052616,0.3060077063058082,1.1347974564289396,16234.0,333,False,True
DFFB,0.09139314289348273,0.11564076485230532,1.005812341726758,17514.0,193,False,True
C1orf174,0.022080304300994065,0.023250214814421896,1.4110606291963157,10024.0,326,False,True
LINC01134,0.0030739130261970725,0.0033049334664720675,1.0155151584001223,12082.5,158,False,False
LINC01346,0.001385173673353392,0.0014726858500060428,0.7135026552894751,12726.0,80,False,False
LINC01345,0.00028170497589360597,0.00028858143999440766,0.3477456831917765,12227.0,28,False,False
LINC02780,0.0011814716625661286,0.0014801643629546713,0.875218425345432,10128.0,117,False,False
AL805961.1,0.005208312631909473,0.005876756872923089,1.1921690121695365,6813.0,163,False,True
LINC01777,0.00027524613164913174,0.0002980248912270822,0.34240900734150287,14862.0,35,False,False
AL355602.1,0.00017438879460080368,0.00017833314513233774,0.31617846798288757,14527.0,42,False,False
Z98747.1,1.2420854316296559e-05,1.24207062097059e-05,0.02480673941759672,17694.0,3,False,False
LINC01646,0.00033685356905796267,0.0003834427014676892,0.44324182460042155,10919.5,40,False,False
AJAP1,0.4059383607652041,1.1647319416081305,1.0066782151077243,17156.5,158,False,False
Z98886.1,0.0018204004085964236,0.001886644272469306,0.6834685512170822,11955.0,68,False,False
BX005132.1,4.471507553866761e-06,4.471489781075883e-06,0.023382746576611282,14775.0,5,False,False
LINC02781,0.00013613256330661028,0.00013710776769694635,0.3075414978792033,15698.0,42,False,False
LINC02782,2.3848040287289393e-05,2.384748340650854e-05,0.07156462769555888,15470.0,9,False,False
AL139823.1,6.558211079004582e-05,6.657151119709554e-05,0.2058558581537982,13778.0,24,False,False
Z98259.3,0.0003443060816477406,0.00036306741391494877,0.5351369873595416,12259.0,71,False,False
Z98259.2,6.9556784171260725e-06,6.95563349146024e-06,0.01744664779608274,,0,False,False
Z98259.1,6.45884424447421e-06,6.458805736760639e-06,0.02672230998650444,16448.5,6,False,False
AL365255.1,0.05557239271362876,0.13855075444690856,0.8373491334570775,17427.0,77,False,False
NPHP4,0.2792685011109212,0.6398712069052334,0.9699488019583162,18144.5,152,False,False
KCNAB2,0.2546960765999054,0.5667256637753616,1.155405520975736,12954.0,193,False,True
CHD5,0.36841446304149955,0.9509827303867425,1.2114624372892742,12744.0,199,False,True
RPL22,0.20158649088011193,0.3091829876020925,1.294758815761066,12409.0,317,False,True
AL031847.1,0.00044665392121402426,0.0007266692558984439,0.5634008760738963,10987.0,73,False,False
RNF207,0.043014908999852934,0.05317611598126928,0.6593213424561989,17095.0,23,False,False
ICMT,0.03694657641508309,0.04192115177714579,1.2346627760059616,12904.5,244,False,True
LINC00337,0.0005579447758880414,0.027219756038409745,0.6881047467755089,11547.0,99,False,False
HES3,8.44618093508166e-06,8.44611379342723e-06,0.029578782915007974,8211.0,1,False,False
GPR153,0.015724304730258792,0.019237101547292804,0.919007332605473,15050.0,113,False,False
ACOT7,0.28121460056519854,0.5591264658669184,1.2829809849741554,11319.0,237,False,True
AL031848.2,0.0028349357891515265,0.003080285886666788,0.9296710965458969,12403.0,125,False,False
HES2,0.0018064890517621715,0.001819125246396507,1.0701929037574054,10684.5,170,False,True
ESPN,0.001375236989900355,0.0014051437982950453,1.0506962592183235,11556.0,169,False,True
AL031848.1,0.00013613256330661028,0.00013611409885795397,0.3826025757132606,13949.0,62,False,False
TNFRSF25,0.08820495800757573,0.13484315731577595,0.7475812401405164,17285.5,48,False,False
PLEKHG5,0.07381912453844106,0.11024608124109755,0.9742075108153646,16627.0,146,False,False
NOL9,0.13210770967395755,0.18369145594154893,1.1139121118671853,16293.5,314,False,True
TAS1R1,0.0038733192099939186,0.00407990667633101,1.2907007429694548,10315.0,247,False,True
ZBTB48,0.039684629540567506,0.04465606896427554,1.069364718452202,16502.0,247,False,True
KLHL21,0.07012317512808385,0.08305224018294867,1.3657931781189365,11041.0,345,False,True
PHF13,0.01932039047191297,0.02058568231299769,1.479021516878446,9316.0,330,False,True
THAP3,0.027765577738649325,0.030010448769677324,1.3405593049522897,11449.0,324,False,True
DNAJC11,0.19781005433378512,0.3166190155207113,1.1165549283383378,16327.0,319,False,True
LINC01672,0.0003413250766118294,0.00034518341868403535,0.6016629211504635,12700.0,75,False,False
AL591163.1,0.0016683691517649537,0.0016804915562437274,0.9004972460591387,13766.0,125,False,False
CAMTA1-DT,0.006283958615700755,0.006547542578178333,1.208416988248554,11649.0,260,False,True
CAMTA1,2.727303124490745,20.023013439339625,1.5328274371410109,8398.0,346,True,True
AL512330.1,0.004039261823659641,0.004264409714192574,0.7677256688404458,14283.0,65,False,False
CAMTA1-IT1,0.0007015298517844297,0.0007070000689851128,0.716596397405137,10637.5,90,False,False
Z97987.1,0.002511496742755164,0.00262343696337043,0.7367295753496502,13925.0,63,False,False
AL365194.1,5.117391978314182e-05,5.216499527573185e-05,0.12946673211963386,13452.0,15,False,False
AL359881.3,0.0018695869916889579,0.0019197506806135595,1.2765922582431377,10166.0,250,False,True
AL359881.2,0.0009270925661683751,0.0009431258959895125,1.2118047989895278,9233.0,220,False,True
AL359881.1,0.001537204930184862,0.0015576970770466378,1.3172752962707255,9305.0,243,False,True
VAMP3,0.07873480184265857,0.09211790066957962,1.160730609663686,14784.0,314,False,True
Z98884.2,0.0011531521147249725,0.0011647406220972266,1.063618351619719,9906.0,169,False,True
PER3,0.48286120838020136,0.9592405887045182,1.8072193931760654,5550.5,346,True,True
Z98884.1,0.015906642871622023,0.02405013105092871,1.2837109626698595,12409.0,297,False,True
UTS2,0.002739543628002369,0.0028711535235421796,0.9757069553391081,12641.0,149,False,False
TNFRSF9,0.0014209457337843263,0.0014715918004442159,1.0101309434903003,10896.0,161,False,False
PARK7,0.16649459643153824,0.24598909512881212,1.4817173876659377,10607.0,325,False,True
AL034417.4,0.006904007663170279,0.0076125277342984545,1.0604268274876272,14123.0,198,False,True
AL034417.3,0.003627386294531247,0.003943134544581136,1.2190812035004737,11397.0,228,False,True
ERRFI1,0.1146375296610001,0.18093864688905903,1.3452206682763548,13272.0,338,False,True
AL034417.2,0.02037169158124431,0.027285997034959954,1.3147440940205846,11304.0,311,False,True
LINC01714,0.00028021447337565035,0.0002910664496346607,0.5627867369704661,12383.0,81,False,False
AL358876.2,2.136386942403008e-05,2.1363423623192205e-05,0.0668357064003746,17367.5,6,False,False
SLC45A1,0.050805268827034136,0.0620649307041062,1.1428351248626771,13880.0,201,False,True
RERE,3.5238207144077935,22.638004909712528,1.9537749186229785,4813.0,346,True,True
RERE-AS1,0.008567408473208714,0.009246219516495327,0.9516836241599023,15777.5,142,False,False
AL357552.2,0.0005678814593410786,0.0005725275961669942,1.0364910352380314,9939.0,182,False,True
ENO1,0.199558413787347,0.301320818165176,2.0506653770280328,4780.0,341,False,True
ENO1-AS1,0.0021373806107483117,0.0021884587295113037,0.7716125306078786,13370.0,84,False,False
CA6,0.001007082867965325,0.0018248522752416984,1.2077717352283124,8207.0,192,False,True
SLC2A7,0.0004168438708549125,0.00041965132557526857,0.8424402944730793,10758.0,127,False,False
SLC2A5,0.02873241703862985,0.0695396161309067,5.578061757174245,498.0,345,False,True
GPR157,0.005840782533695294,0.00660756776227068,1.0759279690413923,12984.0,197,False,True
MIR34AHG,0.08002607385738077,0.18816214500870262,1.363794333466655,10793.0,316,False,True
LNCTAM34A,0.0057786782621138105,0.006559102773247787,1.1006475881140156,11649.5,194,False,True
H6PD,0.08827550846009229,0.10607094932555325,1.244368572806185,12725.5,338,False,True
SPSB1,0.06543057636738701,0.08936069843250734,2.146310909432479,3716.0,345,False,True
BX323043.1,0.0003244327147416661,0.0003302896323262675,0.917679953135809,8978.0,165,False,True
LINC02606,0.004252403683727289,0.004473797040591428,1.363252718249945,10463.0,269,False,True
AL928921.1,2.2854371941985666e-05,2.2853860974247893e-05,0.08548641391856512,16284.0,10,False,False
SLC25A33,0.1281911658909429,0.19922594595649507,1.7865930663432685,6149.0,345,False,True
TMEM201,0.022151351587683284,0.02346220157738145,1.1476274293610316,14845.0,273,False,True
PIK3CD,0.053757457480931505,0.08547114216796081,2.1455702166776427,3921.0,343,False,True
PIK3CD-AS1,4.819291474723065e-05,4.819061613294367e-05,0.24407831329452645,14112.0,48,False,False
PIK3CD-AS2,0.0022243265909623875,0.0023406076632001864,1.5544849777169882,7311.5,280,False,True
CLSTN1,0.8150455298835818,2.8253034486948385,1.8197142739376737,8977.5,324,False,True
CTNNBIP1,0.13512349310195435,0.19714767295412264,1.325117396972327,11408.5,346,True,True
AL357140.1,0.00027226512661322056,0.0002751721400648844,0.575812257691626,11828.0,91,False,False
AL357140.4,0.0032105424236763343,0.003346305750340531,1.0393046618767356,13157.5,176,False,True
LZIC,0.08061035084441937,0.09682762866179358,1.4144024384514562,10141.0,343,False,True
AL357140.2,0.0003005846744543767,0.000300494472603783,0.6334892558728457,11197.0,95,False,False
NMNAT1,0.06357837857174087,0.0879640697441464,1.3238525185730639,11768.0,334,False,True
AL603962.1,4.968341726518623e-07,4.968341726518624e-07,0.006601950787269202,4070.0,1,False,False
RBP7,0.019196181928750004,0.02336081512582427,2.4723191258727892,3090.0,341,False,True
UBE4B,0.8630118882480832,2.2977942856446054,1.5475247128517289,8324.0,346,True,True
KIF1B,2.4917252268544834,12.638906300628967,1.7510647075524326,6425.5,346,True,True
AL139424.3,0.010281486368857638,0.010898179708532438,1.1113284084940886,14700.0,228,False,True
AL139424.2,0.01783137845647534,0.01892145784493911,1.3654758170132415,10391.0,315,False,True
PGD,0.06080803122503408,0.07441419210028234,1.289512533855042,12300.0,338,False,True
AL139424.1,0.00013613256330661028,0.0001381014365359387,0.21899606422836002,14335.5,16,False,False
CENPS,0.0292923491512085,0.03496868784478988,0.917318426607101,16881.0,99,False,False
CORT,0.03163243810439877,0.16241419094778115,2.2618684542433476,4322.0,264,False,True
DFFA,0.08798734463995421,0.11220398889129886,1.2943870397446513,12380.0,341,False,True
AL354956.1,0.0003706382927982893,0.0003784504548437462,0.6621884319422797,11971.5,90,False,False
PEX14,0.304032206778408,0.594256611709231,1.1421859621846435,15787.5,338,False,True
AL139423.2,0.003126080614325518,0.003296163842465386,0.8181138465742718,12657.0,93,False,False
CASZ1,0.013361361405126533,0.015920399627631157,1.0155113479715372,11818.5,144,False,False
AL139423.1,0.0027474929747647986,0.002949609743444614,0.6702493731925515,13356.0,73,False,False
C1orf127,0.0011248325668838162,0.0011762323252737753,1.1722143027075702,7583.0,177,False,True
TARDBP,0.2291111040450251,0.3089491540947284,1.2084290723188174,14208.5,336,False,True
MASP2,0.00723241505129316,0.03724356151486226,0.9036399346290316,14023.0,110,False,False
AL109811.2,0.03779268501110921,0.041450013155750406,1.0319022798109263,17247.0,230,False,True
SRM,0.06337020505339974,0.07870317128701333,1.4173438255585333,11407.0,309,False,True
EXOSC10,0.15012490411100468,0.20387342477436457,1.1548001344732888,15846.0,320,False,True
AL109811.1,0.012426319492195729,0.013754466080961137,1.3062141348056486,12111.0,309,False,True
EXOSC10-AS1,0.0017895966898920082,0.0018629074217238505,0.9564353580181728,9266.0,125,False,False
MTOR,0.36652649318542246,0.7028540699641875,1.124270278483568,16088.5,334,False,True
MTOR-AS1,0.002919397598502343,0.003041046780295108,0.8292263028734502,15279.0,91,False,False
ANGPTL7,0.0036169527769055578,0.003832416053009761,0.8510235725747191,15358.0,104,False,False
UBIAD1,0.04544095026491198,0.05164341659506452,1.3193875999523077,11500.5,340,False,True
AL031291.1,0.0012500347783920857,0.0012941815783224517,0.9419628623379157,11218.5,134,False,False
DISP3,0.05593706899635523,0.08385134774416064,1.4599294358058001,9867.0,305,False,True
AL590989.1,0.0002826986442389097,0.00028659354148613786,0.4897398869713766,11848.0,59,False,False
LINC01647,8.247447266020915e-05,8.942339346729258e-05,0.22171504377359705,15103.0,31,False,False
AL031731.1,0.008649882945868922,0.00942962193281063,0.9271759615167611,14772.0,121,False,False
FBXO2,0.0826617791432989,0.10982722641245075,1.609624846328253,7583.0,283,False,True
FBXO44,0.08987283032516803,0.11701733100048795,1.1143300362050192,14339.0,184,False,True
FBXO6,0.012849622207295115,0.013614589751827772,1.1161410396655314,14571.0,232,False,True
MAD2L2,0.014847392415528253,0.015737876383159568,1.4283460110089259,9788.0,324,False,True
DRAXIN,0.005511381477227109,0.006207380795896386,1.2689949437675785,11519.0,237,False,True
AGTRAP,0.00934495395340888,0.009884635425929444,2.079159561922306,4618.0,333,False,True
C1orf167,0.0019341754341337001,0.0019681947745115672,1.3187647739983734,6849.0,203,False,True
AL953897.1,8.644914604142404e-05,8.842905321175579e-05,0.27056325543450677,14852.0,32,False,False
MTHFR,0.09192028395066636,0.11539359194152318,1.1982036517253924,14545.0,336,False,True
CLCN6,0.13154082188296176,0.16857070926587714,1.2534972943191662,13117.0,340,False,True
NPPA,0.0034122570977729904,0.0038388232468090457,1.2551521164618278,7774.0,189,False,True
NPPB,0.0002866733176201246,0.00035018608411294106,0.4816617861644492,13799.0,63,False,False
AL021155.5,0.004633475494151268,0.004838565185689805,1.3008540126149841,10857.0,263,False,True
KIAA2013,0.05022546334754942,0.05527862110793035,1.3195460101686107,11395.0,328,False,True
PLOD1,0.03835808229958703,0.04338137768013604,1.5789882785670026,7700.5,344,False,True
AL096840.2,0.0027594169949084436,0.002817386123320221,0.7074581266459623,15227.0,62,False,False
MFN2,0.1038716299738069,0.13199641977969015,1.2705254791988538,13921.0,323,False,True
MIIP,0.020953484397419644,0.021996006320229362,1.4268087030505217,9389.5,334,False,True
TNFRSF8,0.0024518766420369405,0.002513435639210447,1.3567422828679232,7808.0,236,False,True
AL357835.1,1.689236187016332e-05,1.6892084910838794e-05,0.08100776495974832,16022.5,12,False,False
TNFRSF1B,0.017785172878418715,0.02929949038026386,4.491659824326528,753.0,346,True,True
VPS13D,1.05709767362367,4.421010116057609,1.2780437503204138,12931.5,346,True,True
LINC02766,6.260110575413465e-05,6.25972179561301e-05,0.30509161994043954,13722.0,59,False,False
DHRS3,0.03588037028057219,0.05029196048335999,2.615449316355937,2649.0,345,False,True
AC254633.1,0.00017637613129141113,0.00018429446107793754,0.46012260911099184,14068.0,76,False,False
AADACL4,0.0002533854280524498,0.000258289693930964,0.5556683927615017,12159.5,76,False,False
AADACL3,0.00010383834208423922,0.00010382761126805762,0.3487646454776541,12015.5,50,False,False
C1orf158,0.00046553361977479503,0.0005299056039436125,0.7399729034736416,12576.0,117,False,False
PRAMEF12,2.4841708632593117e-06,2.484165926372957e-06,0.013441721737836912,13728.0,3,False,False
PRAMEF1,5.465175899170485e-06,5.4651487462955315e-06,0.02877023333580665,13324.0,4,False,False
