,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
DCAKD,0.1651223404466738,0.27070358971591046,1.214944423166931,13921.5,338,False,True
NMT1,0.23173438847662695,0.3602854328935787,1.326156635894257,12459.0,345,False,True
PLCD3,0.01484639874718295,0.016707726675800005,1.7006769760249871,6939.5,314,False,True
ACBD4,0.03968065486718629,0.04567489497548868,1.0979804918320366,15951.0,258,False,True
AC142472.1,0.006259116907068161,0.006488234039419185,1.3092219525423117,11108.0,273,False,True
HEXIM1,0.04221202497684753,0.04727756198076078,1.5112846296576798,9619.0,307,False,True
AC138150.1,0.11860375686127993,0.1482554055658028,1.5116557465455323,8248.0,344,False,True
HEXIM2,0.013325092510522947,0.014514829274710175,1.2337707798928557,12909.0,275,False,True
AC138150.2,0.00018631281474444837,0.00018727186366787553,0.4879058803830157,12301.0,76,False,False
AC008105.3,0.08097105245376461,0.14264604258849925,1.0992054916984912,15755.5,222,False,True
FMNL1,0.039859018335168306,0.047456764422981995,1.5286307682587685,8087.0,306,False,True
AC008105.1,0.01768978071726956,0.020126342686359128,0.7708760308831751,15261.0,62,False,False
MAP3K14-AS1,0.005516846653126279,0.005844134564008148,0.8916767584164202,12923.5,114,False,False
SPATA32,0.0012167468888244109,0.0013037035462893749,0.8058111046420945,11269.0,93,False,False
MAP3K14,0.09129377605895235,0.13280765470555758,1.6512236040604453,7084.0,346,True,True
AC003070.2,0.00014805658345025497,0.0001500220739250527,0.2140634839367146,12044.0,19,False,False
ARHGAP27,0.02873241703862985,0.03433492283429553,1.874293781309723,5315.0,346,True,True
AC003070.1,4.769608057457879e-05,4.769382935440095e-05,0.13019698126865975,14665.0,11,False,False
PLEKHM1,0.10527369600903046,0.1411231646690916,1.168280380807908,15152.0,331,False,True
AC091132.2,0.006390281128648253,0.006753871807839101,0.8793557256724586,15671.0,105,False,False
AC091132.1,0.0008416370884722548,0.00085384684819277,0.7338556956416608,14072.0,97,False,False
AC091132.4,0.004444181674370908,0.004584413804903006,1.0557431463424933,12188.0,172,False,True
AC126544.2,0.002631730612536915,0.002709267761927788,0.6884420478464363,13014.5,112,False,False
AC217774.1,0.00024195824208145695,0.00024984916918658197,0.30143820136820404,14957.0,21,False,False
AC217774.2,0.00016693628201102574,0.0001708831725705901,0.2013797273223594,14171.0,9,False,False
CRHR1,0.0745504644405846,0.1110855326586578,0.7616969676042488,16054.0,38,False,False
MAPT-AS1,0.07742415329520297,0.11983924776875082,1.437862343994707,10198.0,329,False,True
SPPL2C,0.00011924020143644695,0.0001192260424463811,0.25443787866394196,13251.0,21,False,False
MAPT,1.6361032500904238,7.548045497995316,1.470966652825973,9621.5,346,True,True
MAPT-IT1,0.02020922680678715,0.021619237771753678,1.0253726626007604,15066.0,183,False,True
CR936218.2,0.005699681628662165,0.005986165770969361,0.8511823709145753,14141.5,90,False,False
STH,0.00729104148366608,0.007439600568095729,1.0615983777101312,14965.5,206,False,True
KANSL1,1.964463438966903,9.587284721377905,1.4790706937593578,8760.0,346,True,True
CR936218.1,0.0003562301017913853,0.0003590843853472706,0.551142212059202,14111.0,74,False,False
KANSL1-AS1,0.01161300195156463,0.012700358511935387,1.346261102384648,10174.0,302,False,True
ARL17B,0.2602631035044695,0.651120384008879,1.1931559909640197,14056.0,327,False,True
LRRC37A,0.0243175485804454,0.026674432644741508,0.9533519948265063,17019.0,151,False,False
LRRC37A2,0.14360842710250285,0.20726909246344258,1.0220076603422947,16449.5,200,False,True
ARL17A,0.12281691064536772,0.15918315577600672,1.0567292248542663,16978.0,267,False,True
FAM215B,0.02705212386672125,0.029349022159067383,0.992762781052996,17118.0,174,False,True
NSF,0.5442545102606193,1.5053745649647268,1.8633082283785347,7095.5,302,False,True
WNT3,0.03747719531147528,0.053726193658797536,1.004689562135556,15651.0,165,False,True
WNT9B,0.005486042934421864,0.006462535511945696,0.8665222061027051,13986.0,105,False,False
LINC01974,7.25377892071719e-05,7.253256351296528e-05,0.1566710899112092,12751.5,12,False,False
AC005670.1,0.00570912147794255,0.006099833155597383,0.8666498987733061,15337.0,86,False,False
GOSR2,0.1960348658349,0.2831205549142847,1.1942215038870057,14610.0,339,False,True
RPRML,0.03108542368030907,0.03882864245292525,1.3078003822673145,7986.5,184,False,True
AC005670.3,0.523570309984777,1.2110208809091818,1.184812866647287,14589.0,342,False,True
CDC27,0.6290983850902052,1.6711039697786392,1.124733821792794,16276.0,329,False,True
AC002558.3,0.040303684919691725,0.04565586603730302,1.0285442529998412,17190.0,231,False,True
AC002558.2,0.004138131824017361,0.004344585225256191,0.7700064814396714,14440.0,73,False,False
MYL4,0.00042926472517120905,0.0004410046962167824,0.8325969668991154,10597.0,132,False,False
ITGB3,0.005780168764631766,0.0072750239432402535,2.0067943556337817,4612.0,322,False,True
AC068234.3,0.0003472870866836518,0.0003551160015592631,0.7326787692318042,12273.5,110,False,False
AC068234.2,0.01050605541489628,0.01229160352423943,1.309693032452808,11640.0,301,False,True
EFCAB13,0.11967493133751735,0.18948385408156607,1.7236826160089072,6103.0,346,True,True
AC040934.1,0.07863642867647351,0.09586162726761267,1.427178285520268,9536.0,341,False,True
NPEPPS,0.7514651639751504,2.548194518231283,1.1158179359736968,16547.0,332,False,True
AC025682.1,0.12607763332048189,0.17798213066181418,1.354352517299739,10971.0,343,False,True
KPNB1,0.3542149423871093,0.6046239296854373,1.2155578750698315,14498.0,341,False,True
